Name,Governorat,Type,Number_bed,Occupancy,Total_Admi,Male_visit,Female_vis,Total_visi,Total_Surg,Latitude,Longitude
King Abdallah Hospital,Irbid,Universities Hospitals,523.000000000000000,"68,3",n/a,n/a,n/a,n/a,n/a,32.501698310000002,35.993067979999999
University Hospital,Amman,Universities Hospitals,577.000000000000000,77,n/a,n/a,n/a,n/a,n/a,32.006150480000002,35.874598159999998
Eslame Hospital (Aqaba),Aqaba,Private Hospitals,46.000000000000000,"60,9",n/a,n/a,n/a,n/a,n/a,29.539874030000000,35.004696590000002
New Aqaba,Aqaba,Private Hospitals,41.000000000000000,46,n/a,n/a,n/a,n/a,n/a,29.546712329999998,35.017443690000000
Dlail Hospital,Zarqa,Private Hospitals,32.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.124505290000002,36.285101300000001
Habaibeh Hospital,Zarqa,Private Hospitals,0.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.068045689999998,36.088253469999998
Zarqa Al-Watani Hospital,Zarqa,Private Hospitals,30.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.063021319999997,36.084462580000000
Qasr Shabeeb Hospital,Zarqa,Private Hospitals,70.000000000000000,"54,6",n/a,n/a,n/a,n/a,n/a,32.063021319999997,36.082890530000000
Al-Hikma Al-Hadeeth Hospital,Zarqa,Private Hospitals,60.000000000000000,"56,8",n/a,n/a,n/a,n/a,n/a,32.053451389999999,36.093778110000002
Jabal Zaytoon Hospital,Zarqa,Private Hospitals,123.000000000000000,"66,2",n/a,n/a,n/a,n/a,n/a,32.037628750000003,36.091550290000001
Al-Razi Al-Jadeed Hospital,Zarqa,Private Hospitals,30.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.028886300000003,36.062992850000001
Ebn Alnafees Hospital,Irbid,Private Hospitals,103.000000000000000,"11,5",n/a,n/a,n/a,n/a,n/a,32.538715439999997,35.803622269999998
Najah Hospital,Irbid,Private Hospitals,15.000000000000000,37,n/a,n/a,n/a,n/a,n/a,32.533103629999999,35.843130180000003
Takasese Hospital,Irbid,Private Hospitals,60.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.533951860000002,35.862291239999998
Rahebat Hospital,Irbid,Private Hospitals,87.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.524999600000001,35.868480640000001
Room Katholeek Hospital,Irbid,Private Hospitals,18.000000000000000,36,n/a,n/a,n/a,n/a,n/a,32.551853719999997,35.851978580000001
Qwasme Hospital,Irbid,Private Hospitals,28.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.551376689999998,35.853523690000003
Irbed Hospital,Irbid,Private Hospitals,15.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,32.549067200000003,35.859461549999999
King Hussein Cancer Center,Amman,Private Hospitals,172.000000000000000,"87,4",n/a,n/a,n/a,n/a,n/a,32.004596470000003,35.875110200000002
Esraa Hospital,Amman,Private Hospitals,129.000000000000000,"56,1",n/a,n/a,n/a,n/a,n/a,32.016867859999998,35.866019250000001
Eyes Hospital,Amman,Private Hospitals,33.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.997603089999998,35.872478139999998
Emn Alhethem Hospital,Amman,Private Hospitals,74.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.997214560000000,35.872280510000003
Tla’a Ali Hospital,Amman,Private Hospitals,53.000000000000000,3,n/a,n/a,n/a,n/a,n/a,31.998212559999999,35.863602780000001
