TOTPOP_CY,POPDENS_CY,POPPRM_CY,MALES_CY,FEMALES_CY,TOTHH_CY,AVGHHSZ_CY,PAGE01_CY,PAGE02_CY,PAGE03_CY,PAGE04_CY,PAGE05_CY,MAGE01_CY,MAGE02_CY,MAGE03_CY,MAGE04_CY,MAGE05_CY,FAGE01_CY,FAGE02_CY,FAGE03_CY,FAGE04_CY,FAGE05_CY,MRST01_CY,MRST02_CY,MRST03_CY,MRST04_CY,MRST_BASE,EDUC01_CY,EDUC02_CY,EDUC03_CY,EDUC04_CY,EDUC05_CY,EDUC_BASE,UNEMP_CY,PP_CY,PPPRM_CY,PPPC_CY,PPIDX_CY,Shape_Length,Shape_Area,ID,name,AREA,grid_code,RG_NAME
197299,472,17.9,101596,95703,39665,5,72277,56737,38106,19610,10569,37225,29743,19553,9992,5083,35052,26994,18553,9618,5486,123194,69383,1083,3639,197299,7263,40057,25854,58963,34707,166844,11129,397663451.5,15.8,2015.54,88.2,130337.9005,587068464.9,10,Ajlun,418.01,1167691,Ajloun
4539505,598.3,412.8,2438222,2101283,992836,4.6,1415304,1316899,970675,555568,281059,724734,726279,537766,303737,145706,690570,590620,432909,251831,135353,2626142,1766155,42373,104835,4539505,137162,899342,583906,1133513,1224033,3977956,300469,12273106056,488.3,2703.62,118.3,565787.4247,10489990394,11,Amman,7586.76,20026690,Amman
207905,30.2,18.9,117691,90214,43109,4.8,71550,61021,46502,21900,6932,36765,35568,28327,13215,3816,34785,25453,18175,8685,3116,122493,80498,1460,3454,207905,9609,44046,25040,60626,38755,178076,12164,434444044.9,17.3,2089.63,91.4,562827.1534,9175494354,12,Aqaba,6883.84,1544488,Al - Aqaba
550971,490.5,50.1,295977,254994,113638,4.8,186035,156476,115359,64274,28827,95474,86422,64624,34996,14461,90561,70054,50735,29278,14366,330701,204460,3847,11963,550971,34498,104897,68773,145786,121391,475345,36854,1159938138,46.1,2105.26,92.1,282417.9698,1566789840,13,Balqa,1123.2,3713915,Al - Balqa
2049582,1311.6,186.4,1059506,990076,417032,4.9,743475,587453,392772,219199,106683,380888,311914,200932,112740,53032,362587,275539,191840,106459,53651,1258380,737301,13803,40098,2049582,74773,431877,292712,516764,426395,1742521,116924,4328259779,172.2,2111.78,92.4,340439.2273,2205211361,14,Irbid,1562.64,10080557,Irbid
266034,642.5,24.2,138360,127674,53194,5,100535,76759,50590,25888,12262,51437,40729,26592,13560,6042,49098,36030,23998,12328,6220,165323,95060,1282,4369,266034,9464,58353,36937,75840,43174,223768,15040,506887445.2,20.2,1905.35,83.4,147054.0656,580744275.7,15,Jarash,414.07,1638987,Jarash
351935,94.3,32,183870,168065,71479,4.9,122675,98925,73532,38129,18674,62811,53494,38881,19685,8999,59864,45431,34651,18444,9675,216377,125974,1739,7845,351935,17578,69162,40354,98245,75953,301292,17123,765545851.6,30.5,2175.25,95.2,356786.9092,5112422696,16,Karak,3731.56,4248461,Al - Karak
179849,5.5,16.4,93936,85913,36361,4.9,65377,51818,35240,18034,9380,33135,27955,18446,9446,4954,32242,23863,16794,8588,4426,114311,60033,1157,4348,179849,15316,38560,23234,46836,28844,152790,11641,328230368.7,13.1,1825.03,79.8,947734.1864,44176345479,17,Maan,32784.63,2393638,Maan
217963,195.2,19.8,115249,102714,44659,4.9,74843,61952,45658,24076,11434,38519,33425,24668,12797,5840,36324,28527,20990,11279,5594,132815,79562,1177,4409,217963,13076,48150,27446,58197,40597,187466,14365,437622626.9,17.4,2007.78,87.8,188173.7804,1543778385,18,Madaba,1116.46,1486305,Madaba
755183,28.5,68.7,389505,365678,148157,5.1,311937,207796,141048,63366,31036,160951,108566,72457,32279,15252,150986,99230,68591,31087,15784,483629,253439,5173,12942,755183,51728,208522,116899,163423,80735,621307,40319,1248763391,49.7,1653.59,72.3,1034811.529,37265309508,19,Mafraq,26496.99,8501354,Al - Mafraq
106103,47.9,9.6,55502,50601,21536,4.9,38582,31369,21295,10066,4791,19741,17029,11252,5072,2408,18841,14340,10043,4994,2383,66173,37303,481,2146,106103,4683,21790,14625,29122,19624,89844,7484,210643308.2,8.4,1985.27,86.9,250957.2419,3008494275,20,Tafilah,2213,1634265,Al - Tafiela
1574461,329.2,143.2,832709,741752,327139,4.8,574752,435950,314935,171987,76837,295403,233355,171209,93644,39098,279349,202595,143726,78343,37739,949898,576722,13996,33845,1574461,56136,350621,250541,434982,255066,1347346,94688,3044680689,121.1,1933.79,84.6,545544.7472,6646761295,21,Zarqa,4782.41,7069604,Al - Zarqa
