Code,Station_ID,JMD_code,Station_Name,Altitude_m,Latitude,Longitude,Time,SPI
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,10/31/79,75.8
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,10/31/79,62.5
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,10/31/79,52.3
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,10/31/79,47.3
,AL0004,30,Jarash,585,32.279346,35.892955,10/31/79,41.8
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,10/31/79,40.6
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,10/31/79,35
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,10/31/79,32.9
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,10/31/79,32.6
,AM0007,27,South Shuna,-211,31.904103,35.625541,10/31/79,25.7
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,10/31/79,24.4
,CC0001,24,Madaba,758,31.43,35.48,10/31/79,24.3
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,10/31/79,14.7
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,10/31/79,8.4
,AL0017,23,Sawileh,1050,32,35.54,10/31/79,6.7
SYNP0029,,14,Queen AIA,722,31.43,35.59,10/31/79,5.1
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,10/31/79,4.7
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,10/31/79,3.3
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,10/31/79,2.7
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,10/31/79,1.6
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,10/31/79,1.4
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,10/31/79,1.4
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,10/31/79,0.2
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,10/31/79,0
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,10/31/79,0
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,10/31/79,0
,CD0034,19,Qatraneh,730,31.15,36.07,10/31/79,0
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,10/31/79,0
,AD0012,25,Ramtha,590,32.3,35.59,10/31/79,0
,F 0003,28,Azraq South ,511,31.82568,36.818333,10/31/79,0
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,11/30/79,187
,AL0017,23,Sawileh,1050,32,35.54,11/30/79,176.5
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,11/30/79,174.5
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,11/30/79,148.5
,AL0004,30,Jarash,585,32.279346,35.892955,11/30/79,135.1
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,11/30/79,133.2
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,11/30/79,119.3
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,11/30/79,111.8
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,11/30/79,97.9
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,11/30/79,97
,CC0001,24,Madaba,758,31.43,35.48,11/30/79,94.1
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,11/30/79,87.8
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,11/30/79,71.1
,AD0012,25,Ramtha,590,32.3,35.59,11/30/79,69.1
SYNP0029,,14,Queen AIA,722,31.43,35.59,11/30/79,68.1
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,11/30/79,65.1
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,11/30/79,64
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,11/30/79,63.5
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,11/30/79,62.8
,AM0007,27,South Shuna,-211,31.904103,35.625541,11/30/79,59
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,11/30/79,49.1
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,11/30/79,22.5
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,11/30/79,4.9
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,11/30/79,3
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,11/30/79,1.9
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,11/30/79,1.3
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,11/30/79,0.7
,CD0034,19,Qatraneh,730,31.15,36.07,11/30/79,0
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,11/30/79,0
,F 0003,28,Azraq South ,511,31.82568,36.818333,11/30/79,0
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,12/31/79,237
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,12/31/79,232.1
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,12/31/79,226.7
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,12/31/79,198.1
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,12/31/79,195.6
,CC0001,24,Madaba,758,31.43,35.48,12/31/79,194.9
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,12/31/79,178.1
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,12/31/79,164.7
,AL0017,23,Sawileh,1050,32,35.54,12/31/79,160
,AL0004,30,Jarash,585,32.279346,35.892955,12/31/79,123.8
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,12/31/79,121.8
,AD0012,25,Ramtha,590,32.3,35.59,12/31/79,114.7
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,12/31/79,113.6
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,12/31/79,100.3
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,12/31/79,87.4
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,12/31/79,70.8
SYNP0029,,14,Queen AIA,722,31.43,35.59,12/31/79,67.8
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,12/31/79,59.6
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,12/31/79,59.3
,AM0007,27,South Shuna,-211,31.904103,35.625541,12/31/79,54.6
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,12/31/79,51.2
,CD0034,19,Qatraneh,730,31.15,36.07,12/31/79,26.1
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,12/31/79,18
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,12/31/79,15.7
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,12/31/79,14.5
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,12/31/79,12.3
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,12/31/79,10.7
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,12/31/79,7.8
,F 0003,28,Azraq South ,511,31.82568,36.818333,12/31/79,7.8
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,12/31/79,1.8
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,1/31/80,154.9
,AL0017,23,Sawileh,1050,32,35.54,1/31/80,120
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,1/31/80,117.9
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,1/31/80,116.9
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,1/31/80,106.4
