OBJECTID,Sheet_no,scan_exist,Scan_avail_yes,Scan_avail_no,Scanned_map,SHAPE
1,H-36-107,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-107.jpg,"{'rings': [[[3896195.7665696, 3375661.57174399], [3896195.7665696, 3418138.09726169], [3951855.51196624, 3418138.09726169], [3951855.51196624, 3375661.57174399], [3896195.7665696, 3375661.57174399]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
2,H-36-108,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-108.jpg,"{'rings': [[[3951855.51196624, 3375661.57174399], [3951855.51196624, 3418138.09726169], [4007515.25736288, 3418138.09726169], [4007515.25736288, 3375661.57174399], [3951855.51196624, 3375661.57174399]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
3,H-37-97,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-097.jpg,"{'rings': [[[4007515.25736288, 3375661.57174399], [4007515.25736288, 3418138.09726169], [4063175.00275951, 3418138.09726169], [4063175.00275951, 3375661.57174399], [4007515.25736288, 3375661.57174399]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
4,H-36-94,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-094.jpg,"{'rings': [[[3840536.02117297, 3418138.09726169], [3840536.02117297, 3460777.11550363], [3896195.7665696, 3460777.11550363], [3896195.7665696, 3418138.09726169], [3840536.02117297, 3418138.09726169]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
5,H-36-95,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-095.jpg,"{'rings': [[[3896195.7665696, 3418138.09726169], [3896195.7665696, 3460777.11550363], [3951855.51196624, 3460777.11550363], [3951855.51196624, 3418138.09726169], [3896195.7665696, 3418138.09726169]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
6,H-36-96,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-096.jpg,"{'rings': [[[3951855.51196624, 3418138.09726169], [3951855.51196624, 3460777.11550363], [4007515.25736288, 3460777.11550363], [4007515.25736288, 3418138.09726169], [3951855.51196624, 3418138.09726169]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
7,H-37-85,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-085.jpg,"{'rings': [[[4007515.25736288, 3418138.09726169], [4007515.25736288, 3460777.11550363], [4063175.00275951, 3460777.11550363], [4063175.00275951, 3418138.09726169], [4007515.25736288, 3418138.09726169]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8,H-37-86,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-086.jpg,"{'rings': [[[4063175.00275951, 3418138.09726169], [4063175.00275951, 3460777.11550363], [4118834.74815615, 3460777.11550363], [4118834.74815615, 3418138.09726169], [4063175.00275951, 3418138.09726169]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9,H-36-83,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-083.jpg,"{'rings': [[[3896195.7665696, 3460777.11550363], [3896195.7665696, 3503565.53451451], [3951855.51196624, 3503565.53451451], [3951855.51196624, 3460777.11550363], [3896195.7665696, 3460777.11550363]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
10,H-36-84,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-084.jpg,"{'rings': [[[3951855.51196624, 3460777.11550363], [3951855.51196624, 3503565.53451451], [4007515.25736288, 3503565.53451451], [4007515.25736288, 3460777.11550363], [3951855.51196624, 3460777.11550363]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
