objectid,sheet_no,scan_exist,scan_avail,scanned_ma,geometry
1.0,H-36-107,Yes,,http://maps.vlasenko.net/smtm100/h-36-107.jpg,"POLYGON ((3896195.7665696 3375661.57174399, 3896195.7665696 3418138.09726169, 3951855.51196624 3418138.09726169, 3951855.51196624 3375661.57174399, 3896195.7665696 3375661.57174399))"
2.0,H-36-108,Yes,,http://maps.vlasenko.net/smtm100/h-36-108.jpg,"POLYGON ((3951855.51196624 3375661.57174399, 3951855.51196624 3418138.09726169, 4007515.25736288 3418138.09726169, 4007515.25736288 3375661.57174399, 3951855.51196624 3375661.57174399))"
3.0,H-37-97,Yes,,http://maps.vlasenko.net/smtm100/h-37-097.jpg,"POLYGON ((4007515.25736288 3375661.57174399, 4007515.25736288 3418138.09726169, 4063175.00275951 3418138.09726169, 4063175.00275951 3375661.57174399, 4007515.25736288 3375661.57174399))"
4.0,H-36-94,Yes,,http://maps.vlasenko.net/smtm100/h-36-094.jpg,"POLYGON ((3840536.02117297 3418138.09726169, 3840536.02117297 3460777.11550363, 3896195.7665696 3460777.11550363, 3896195.7665696 3418138.09726169, 3840536.02117297 3418138.09726169))"
5.0,H-36-95,Yes,,http://maps.vlasenko.net/smtm100/h-36-095.jpg,"POLYGON ((3896195.7665696 3418138.09726169, 3896195.7665696 3460777.11550363, 3951855.51196624 3460777.11550363, 3951855.51196624 3418138.09726169, 3896195.7665696 3418138.09726169))"
6.0,H-36-96,Yes,,http://maps.vlasenko.net/smtm100/h-36-096.jpg,"POLYGON ((3951855.51196624 3418138.09726169, 3951855.51196624 3460777.11550363, 4007515.25736288 3460777.11550363, 4007515.25736288 3418138.09726169, 3951855.51196624 3418138.09726169))"
7.0,H-37-85,Yes,,http://maps.vlasenko.net/smtm100/h-37-085.jpg,"POLYGON ((4007515.25736288 3418138.09726169, 4007515.25736288 3460777.11550363, 4063175.00275951 3460777.11550363, 4063175.00275951 3418138.09726169, 4007515.25736288 3418138.09726169))"
8.0,H-37-86,Yes,,http://maps.vlasenko.net/smtm100/h-37-086.jpg,"POLYGON ((4063175.00275951 3418138.09726169, 4063175.00275951 3460777.11550363, 4118834.74815615 3460777.11550363, 4118834.74815615 3418138.09726169, 4063175.00275951 3418138.09726169))"
9.0,H-36-83,Yes,,http://maps.vlasenko.net/smtm100/h-36-083.jpg,"POLYGON ((3896195.7665696 3460777.11550363, 3896195.7665696 3503565.53451451, 3951855.51196624 3503565.53451451, 3951855.51196624 3460777.11550363, 3896195.7665696 3460777.11550363))"
10.0,H-36-84,Yes,,http://maps.vlasenko.net/smtm100/h-36-084.jpg,"POLYGON ((3951855.51196624 3460777.11550363, 3951855.51196624 3503565.53451451, 4007515.25736288 3503565.53451451, 4007515.25736288 3460777.11550363, 3951855.51196624 3460777.11550363))"
11.0,H-37-73,Yes,,http://maps.vlasenko.net/smtm100/h-37-073.jpg,"POLYGON ((4007515.25736288 3460777.11550363, 4007515.25736288 3503565.53451451, 4063175.00275951 3503565.53451451, 4063175.00275951 3460777.11550363, 4007515.25736288 3460777.11550363))"
12.0,H-37-74,Yes,,http://maps.vlasenko.net/smtm100/h-37-074.jpg,"POLYGON ((4063175.00275951 3460777.11550363, 4063175.00275951 3503565.53451451, 4118834.74815615 3503565.53451451, 4118834.74815615 3460777.11550363, 4063175.00275951 3460777.11550363))"
13.0,H-37-75,Yes,,http://maps.vlasenko.net/smtm100/h-37-075.jpg,"POLYGON ((4118834.74815615 3460777.11550363, 4118834.74815615 3503565.53451451, 4174494.49355279 3503565.53451451, 4174494.49355279 3460777.11550363, 4118834.74815615 3460777.11550363))"
14.0,H-37-76,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4174494.49355279 3460777.11550363, 4174494.49355279 3503565.53451451, 4230154.23894942 3503565.53451451, 4230154.23894942 3460777.11550363, 4174494.49355279 3460777.11550363))"
15.0,H-36-71,Yes,,http://maps.vlasenko.net/smtm100/h-36-071.jpg,"POLYGON ((3896195.7665696 3503565.53451451, 3896195.7665696 3546466.47467736, 3951855.51196624 3546466.47467736, 3951855.51196624 3503565.53451451, 3896195.7665696 3503565.53451451))"
16.0,H-36-72,Yes,,http://maps.vlasenko.net/smtm100/h-36-072.jpg,"POLYGON ((3951855.51196624 3503565.53451451, 3951855.51196624 3546466.47467736, 4007515.25736288 3546466.47467736, 4007515.25736288 3503565.53451451, 3951855.51196624 3503565.53451451))"
